"cob_num";"recibo";"co_cli";"co_ven";"fec_cob";"anulado";"monto";"dppago";"mont_ncr";"ncr";"tasa";"moneda";"descrip";"adel_num";"origen"
74;"               ";"C-01578-0 ";"OFIC  ";2025-11-04 00:00:00;0;8443.56;0.00;0.00;0;205.67000;"US$   ";" ";0;" "
75;"               ";"C-01578-0 ";"OFIC  ";2025-11-04 00:00:00;0;17.92;0.00;0.00;0;224.37000;"US$   ";" ";4;" "
76;"               ";"C-01297-0 ";"OFIC  ";2025-11-04 00:00:00;0;4408.84;0.00;0.00;0;224.37000;"US$   ";" ";0;" "
77;"               ";"C-01198-0 ";"OFIC3 ";2025-11-11 00:00:00;0;0.00;0.00;0.00;0;210.28000;"US$   ";" ";0;" "
78;"               ";"C-01198-0 ";"OFIC3 ";2025-11-11 00:00:00;0;5534.00;0.00;0.00;0;210.28000;"US$   ";" ";0;" "
79;"               ";"C-01198-0 ";"OFIC3 ";2025-11-11 00:00:00;0;5689.30;0.00;0.00;0;212.48000;"US$   ";" ";0;" "
80;"               ";"C-01198-0 ";"OFIC3 ";2025-11-11 00:00:00;0;800.71;0.00;0.00;0;214.41000;"US$   ";" ";0;" "
81;"               ";"C-01198-0 ";"OFIC3 ";2025-11-11 00:00:00;0;0.00;0.00;0.00;0;214.41000;"US$   ";" ";0;" "
83;"               ";"C-01198-0 ";"OFIC3 ";2025-11-11 00:00:00;0;9146.33;0.00;0.00;0;214.41000;"US$   ";" ";0;" "
84;"               ";"C-01198-0 ";"OFIC3 ";2025-11-11 00:00:00;0;3581.57;0.00;0.00;0;214.41000;"US$   ";" ";0;" "
