"fact_num";"fec_emis";"fec_venc";"fec_reg";"co_cli";"co_ven";"moneda";"tasa";"tot_bruto";"glob_desc";"tot_reca";"tot_flete";"iva";"tot_neto";"saldo";"anulada";"status";"num_control";"nombre";"rif";"comentario";"descrip"
6968;2025-03-20 00:00:00;2025-03-20 00:00:00;1900-01-01 00:00:00;"C-02539-0 ";"OFIC  ";"US$   ";67.63000;19660.56;0.00;0.00;0.00;0.00;19660.56;19660.56;0;0;0;"                                                            ";"                  ";"  <Forma de pago: Efectivo>";"                                                            "
6969;2025-03-20 00:00:00;2025-03-20 00:00:00;1900-01-01 00:00:00;"C-02539-0 ";"OFIC  ";"US$   ";67.63000;11060.06;0.00;0.00;0.00;0.00;11060.06;11060.06;0;0;0;"                                                            ";"                  ";"  <Forma de pago: Efectivo>";"                                                            "
6970;2025-03-20 00:00:00;2025-03-20 00:00:00;1900-01-01 00:00:00;"C-02539-0 ";"OFIC  ";"US$   ";67.63000;11060.06;0.00;0.00;0.00;0.00;11060.06;11060.06;0;0;0;"                                                            ";"                  ";"  <Forma de pago: Efectivo>";"                                                            "
7026;2025-03-25 00:00:00;2025-03-25 00:00:00;1900-01-01 00:00:00;"C-02539-0 ";"OFIC  ";"US$   ";68.39000;11059.98;0.00;0.00;0.00;0.00;11059.98;11059.98;0;0;0;"                                                            ";"                  ";"  <Forma de pago: Efectivo>";"                                                            "
7027;2025-03-25 00:00:00;2025-03-25 00:00:00;1900-01-01 00:00:00;"C-02539-0 ";"OFIC  ";"US$   ";68.39000;11059.98;0.00;0.00;0.00;0.00;11059.98;11059.98;0;0;0;"                                                            ";"                  ";"  <Forma de pago: Efectivo>";"                                                            "
7034;2025-03-25 00:00:00;2025-03-25 00:00:00;1900-01-01 00:00:00;"C-02539-0 ";"OFIC  ";"US$   ";68.39000;13871.58;0.00;0.00;0.00;0.00;13871.58;13871.58;0;0;0;"                                                            ";"                  ";"  <Forma de pago: Efectivo>";"                                                            "
7036;2025-03-25 00:00:00;2025-03-25 00:00:00;1900-01-01 00:00:00;"C-02539-0 ";"OFIC  ";"US$   ";68.39000;15720.96;0.00;0.00;0.00;0.00;15720.96;15720.96;0;0;0;"                                                            ";"                  ";"  <Forma de pago: Efectivo>";"                                                            "
7037;2025-03-25 00:00:00;2025-03-25 00:00:00;1900-01-01 00:00:00;"C-02539-0 ";"OFIC  ";"US$   ";68.39000;11059.98;0.00;0.00;0.00;0.00;11059.98;11059.98;0;0;0;"                                                            ";"                  ";"  <Forma de pago: Efectivo>";"                                                            "
7038;2025-03-25 00:00:00;2025-03-25 00:00:00;1900-01-01 00:00:00;"C-02539-0 ";"OFIC  ";"US$   ";68.39000;11059.98;0.00;0.00;0.00;0.00;11059.98;11059.98;0;0;0;"                                                            ";"                  ";"  <Forma de pago: Efectivo>";"                                                            "
7045;2025-03-25 00:00:00;2025-03-25 00:00:00;1900-01-01 00:00:00;"C-02539-0 ";"OFIC  ";"US$   ";68.39000;11059.98;0.00;0.00;0.00;0.00;11059.98;11059.98;0;0;0;"                                                            ";"                  ";"  <Forma de pago: Efectivo>";"                                                            "
