"fact_num";"reng_num";"co_art";"co_alma";"total_art";"uni_venta";"prec_vta";"porc_desc";"tipo_imp";"isv";"reng_neto";"des_art";"anulado"
6968;1;"PRODT-0092                    ";"01    ";2880.00000;"BUL   ";4.80000;"5              ";6;0.00000;13132.64;" ";0
6968;2;"PRODT-0094                    ";"01    ";1600.00000;"BUL   ";4.80000;"15             ";6;0.00000;6527.92;" ";0
6969;1;"PRODT-0014                    ";"01    ";1400.00000;"BUL   ";7.90000;"               ";6;0.00000;11060.06;" ";0
6970;1;"PRODT-0014                    ";"01    ";1400.00000;"BUL   ";7.90000;"               ";6;0.00000;11060.06;" ";0
7026;1;"PRODT-0014                    ";"01    ";1400.00000;"BUL   ";7.90000;"               ";6;0.00000;11059.98;" ";0
7027;1;"PRODT-0014                    ";"01    ";1400.00000;"BUL   ";7.90000;"               ";6;0.00000;11059.98;" ";0
7034;1;"PRODT-0082                    ";"01    ";1404.00000;"BUL   ";7.20000;"10             ";6;0.00000;9097.96;" ";0
7034;2;"PRODT-0084                    ";"01    ";390.00000;"BUL   ";7.20000;"15             ";6;0.00000;2386.81;" ";0
7034;3;"PRODT-0088                    ";"01    ";390.00000;"BUL   ";7.20000;"15             ";6;0.00000;2386.81;" ";0
7036;1;"PRODT-0082                    ";"01    ";936.00000;"BUL   ";7.20000;"10             ";6;0.00000;6065.30;" ";0
