"co_alma";"co_art";"stock_act"
"01    ";"PRODT-0007                    ";-4652017.00000
"01    ";"PRODT-0008                    ";-531892.00000
"01    ";"PRODT-0009                    ";-1360321.00000
"01    ";"PRODT-0010                    ";-432560.00000
"01    ";"PRODT-0011                    ";-272441.00000
"01    ";"PRODT-0012                    ";-1395446.00000
"01    ";"PRODT-0014                    ";-851975.00000
"01    ";"PRODT-0025                    ";-5850.00000
"01    ";"PRODT-0026                    ";-7250.00000
"01    ";"PRODT-0049                    ";-20748.00000
